"pmid","year","title","abstract","first_author"
"42189456","2026","Cardiac resynchronization in heart failure with mildly reduced ejection fraction and electrical dyssynchrony without primary indication for pacing: A systematic review and meta-analysis.","Patients with heart failure with mildly reduced ejection fraction (HFmrEF) and electrical dyssynchrony often experience progressive adverse remodeling, yet current guidelines restrict cardiac resynchronization therapy (CRT) to left ventricular ejection fraction (LVEF) ≤ 35% or pacing indications. The benefits of CRT or conduction system pacing (CSP) in HFmrEF remain uncertain.

We performed a systematic review and meta-analysis of comparative and single-arm studies involving adults with HFmrEF (LVEF 36%-50%) and no conventional primary pacing indication who underwent de novo CRT or conduction system pacing (CSP). MEDLINE and Embase were searched from inception. For continuous variables, mean differences (MD) with corresponding 95% confidence intervals (CI) were calculated. Comparative analyses were performed between CRT/CSP and control groups. For single-arm cohorts, within-patient change from baseline and its standard error were calculated and synthesized as effect estimates relative to zero using generic inverse-variance methods. Random-effects models were used for the primary analyses because of substantial heterogeneity among studies.

Seven studies (one randomized trial, one prospective comparative cohort, and five single-arm cohorts) comprising 311 patients were included. In comparative analyses, no significant difference in LVEF was observed between CRT/CSP and usual care using a random-effects model. Compared with baseline, CRT/CSP was associated with increased LVEF (MD 7.88% points; 95% CI 2.80-12.95; p < 0.01), reduced LV end-diastolic volume (MD 28.97 mL; 95% CI 11.88-46.07; p < 0.01) and LV end-systolic volume (MD 24.19 mL; 95% CI 5.56-42.83; p = 0.01), and decreased LV end-diastolic and end-systolic diameters. Early resynchronization was also associated with improved 6-minute walk distance (MD 68.30 m; 95% CI 43.08-93.53; p < 0.01), lower New York Heart Association class (MD 0.96; 95% CI 0.78-1.13; p < 0.01), narrower QRS duration (MD 40.93 ms; 95% CI 34.65-47.20 p < 0.01), and lower NT-proBNP levels (MD 430.58 pg/mL; 95% CI 298.06-563.11; p < 0.01) at follow-up.

In patients with HFmrEF and electrical dyssynchrony, CRT/CSP was associated with favorable remodeling, functional, electrical, and biomarker changes relative to baseline. However, the available evidence remains limited and largely non-randomized. These findings are hypothesis-generating and should be confirmed in adequately powered randomized trials.","Krishan Satyam"
"42154362","2026","Right ventricular function after left bundle branch area pacing versus right ventricular pacing: a prospective evaluation.","N/A","Kodal Burcu"
"42105195","2026","A prospective multicenter study of left bundle branch area pacing using stylet-driven lead: insights into capture types, delivery curve selection, and procedural failure.","Stylet-driven lead (SDL)-based left bundle branch area pacing (LBBAP) is increasingly adopted, but detailed characterization of capture types, anatomic predictors of optimal sheath selection, and procedural challenges remains limited.

In this multicenter prospective pilot study, 100 patients undergoing SDL-LBBAP were enrolled. Electrical parameters including paced left ventricular activation time (LVAT) and QRS duration (QRSd) were systematically compared across capture types. Capture types were classified as left bundle branch pacing (LBBP), left bundle fascicular pacing (LBFP), and left ventricular septal pacing (LVSP). Anatomic predictors of sheath-curve selection were evaluated. Detailed procedural features were reviewed for unsuccessful implantations.

Successful LBBAP was achieved in 94% of patients. Direct left bundle conduction system capture (LBBP/LBFP) showed shorter LVAT (LBBP: 68.9 ± 6.6ms; LBFP: 72.9 ± 8.2ms) compared to LVSP (86.3 ± 14.5ms); however, no significant differences in LVAT were observed between LBBP and LBFP or among LBFP subtypes. Left atrial (LA) diameter significantly correlated with final sheath curve used in successful procedures (P = 0.022). Patients requiring large-curve sheath had the largest median LA diameter (43.1 mm), followed by those requiring medium- (40.2 mm) and small-curve (33.5 mm) sheaths. Failed implantations (6%) predominantly occurred in patients with enlarged chambers and atrial fibrillation.

Targeting broader LBFP area and considering LA size during sheath selection may represent feasible procedural consideration in SDL-LBBAP. Dedicated sheath designs may be beneficial in patients with enlarged cardiac chambers and atrial fibrillation. Given the pilot nature of this study, the findings are exploratory and intended to inform future larger-scale investigations.","Kim Juwon"
"42095983","2026","Peak frequency annotation algorithm-guided slow pathway ablation enables lesion delivery farther from the His bundle in typical atrioventricular nodal reentrant tachycardia.","Although slow pathway ablation is an established curative therapy for typical atrioventricular nodal reentrant tachycardia (AVNRT), lesion delivery is constrained by the anatomical proximity to the His bundle, limiting the procedural safety margin. Peak frequency mapping (PFM) is a novel physiology-based method that highlights regions of the slow pathway-related electrograms and may enable safer ablation at more annular sites.

To evaluate the reproducibility, procedural safety, and clinical efficacy of PFM-guided slow pathway ablation compared with the conventional anatomical approach.

Eighty-one consecutive patients with typical AVNRT were analyzed (39 conventional, 42 PFM-guided). Procedural characteristics, acute success, safety outcomes, and mid-term recurrence were assessed.

PFM consistently localized the slow pathway around the 4-5 o'clock region of the tricuspid annulus and enabled effective ablation at significantly greater distances from the His bundle (22.8 ± 5.5 vs. 11.5 ± 3.2 mm, p < 0.0001). Acute success was achieved in all PFM-guided cases and in 97.4% of conventional cases. PFM-guided ablation required fewer RF applications and demonstrated earlier and slower junctional rhythm during energy delivery. During a mean follow-up of 822 ± 362 days, recurrence occurred in 2 conventional patients (5.1%) but in none of the PFM-guided patients.

PFM-guided slow pathway ablation enables lesion delivery at annular sites farther from the His bundle while maintaining acute success and mid-term efficacy. By facilitating ablation at sites more distant from the His bundle, this physiology-based strategy may provide a wider procedural safety margin and represents a reproducible refinement of conventional AVNRT ablation.","Takahashi Masao"
"42033510","2026","Left bundle branch area pacing preserves mechanical strain and synchrony compared to right ventricular apical pacing in an acute paired preclinical model.","N/A","Offei Emmanuel"
"41996015","2026","Feasibility and safety of left bundle branch area pacing in patients with surgical VSD closure.","N/A","Gul Enes Elvin"
"41979859","2026","Improved outcomes of left bundle branch pacing compared to left ventricular septal pacing in patients with heart failure: a systematic review and meta-analysis.","N/A","Ruiz Luis Miguel"
"41979858","2026","Real-time assessment of inter and intraventricular synchrony in cardiac resynchronization therapy with left bundle branch pacing using ECGi and low-frequency QRS analysis.","N/A","Sales-Belles Clara"
"41903033","2026","Convolutional neural network for real‑time localization of ganglionated plexi from bipolar intracardiac electrograms.","Precise localization of ganglionated plexi (GP) is critical for effective cardioneuroablation, yet current mapping relies on labour‑intensive stimulation and subjective electrogram (EGM) interpretation. Recent advancements in deep learning (DL) have shown the potential to automate and improve outcomes an atrial fibrillation by analyzing EGMs. We aimed to apply DL to raw bipolar EGMs in order to automate GP detection.

A total of 189 760 bipolar windows (18 left‑atrium and 15 right‑atrium maps, respectively) were collected from 18 patients. GP annotation was performed independently by two experienced electrophysiologists. Five atrial maps from three patients were withheld for external testing; the remaining 15 patients yielded 119 222 clean windows for model development (GP prevalence ≈ 3.5%). A lightweight one‑dimensional convolutional neural network (CNN) was implemented using PyTorch. Training used focal loss (α = 0.75, γ = 2.0) and class‑balanced sampling. Performance was assessed with ROC/PR curves, threshold sweeps and gradient‑weighted class activation mapping (GCAM) saliency mapping.

On the validation set the model achieved 69.6% accuracy; GP precision, recall and F1‑score were 0.09, 0.85 and 0.17, respectively. External testing on 34 976 unseen windows produced ROC‑AUC = 0.870 and PR‑AUC = 0.349. A probability threshold of 0.70 captured 51% of reference GP sites while highlighting anatomically plausible ""hot‑spots"" (513/9 063 nodes). GCAM consistently focused on central waveform segments (indices140-160), aligning with fractionated autonomic signatures and reinforcing model interpretability.

The proposed explainable one‑dimensional CNN detects GP substrates with high sensitivity despite pronounced class imbalance and generalizes to unseen atria. Its probability maps and saliency outputs provide intuitive visual guidance, supporting real‑time, physiology‑aware decision making in cardioneuroablation.","Guler Tumer Erdem"
"41872573","2026","Left Bundle Branch Area Pacing versus Right Ventricular Pacing in Cardiac Amyloidosis: the Left-Right CA study, a single center, retrospective comparative non-randomized analysis.","Cardiac amyloidosis (CA), particularly transthyretin-related (ATTR-CA), frequently causes conduction disease requiring pacing. Conventional right ventricular pacing (RVP) may worsen heart failure (HF) through dyssynchronous activation, while left bundle branch area pacing (LBBAP) provides a more physiological alternative. Comparative data in CA are lacking.

This single-center, retrospective study included CA patients with CIED (cardiac implantable electronic devices) with LBBAP and RVP. It aimed to compare feasibility, procedural characteristics, and outcomes between both approaches. Diagnosis of CA followed current guideline criteria. HF worsening was defined as clinical deterioration requiring escalation of diuretics or outpatient reassessment; acute HF events as hospitalizations for decompensated HF.

35 CA patients (22 LBBAP, 13 RVP) were included. Overall, 32 (91%) had transthyretin cardiac amyloidosis (ATTR-CA) and 3 (9%) light-chain amyloidosis (AL-CA). Baseline HF was more advanced in the LBBAP group (NYHA 2.6 ± 0.7 vs. 2.0 ± 0.6, p = 0.007; BNP 594 ± 617 vs. 121 ± 71 pg/mL, p = 0.006). Procedural and fluoroscopy times were longer with LBBAP, but paced QRS duration was significantly shorter (116 ± 17 vs. 159 ± 12 ms, p < 0.001). During follow-up (16 ± 10 vs. 32 ± 24 months), LBBAP was associated with markedly fewer HF worsening (9.1% vs. 69.2%, p = 0.0012) and acute HF events (4.5% vs. 69.2%, p < 0.001), despite higher ventricular pacing burden (> 40% in 90.9% vs. 53.8%, p = 0.032). Mortality (22.7% vs. 15.4%, p = 0.689) and complication rates (9.1% vs. 15.4%, p = 0.618) were comparable.

LBBAP is feasible and appears safe in patients with cardiac amyloidosis and was associated with fewer heart-failure-related events compared with RVP, even in advanced disease. These findings are hypothesis-generating and warrant validation in larger prospective studies.","Müssigbrodt Andreas"
